Player,Goals,Assists,Appearances,Minutes Played,Yellow Cards,Red Cards,Shots,Shots on Target,Penalty Goals,Freekick Goals,Passes,Goals per 90,Assists per 90,Goals + Assists per 90,Goals per Shot,Shots on Target %,Passes per 90,None Set Piece Goals,Ratio of Setpiece Goals to Total Goals,Goals per Game,Assists per Game,Goals + Assists per Game,Yellow Cards per 90,Red Cards per 90
Yaya Toure,20.0,9.0,35.0,2927.0,4.0,0,64.0,27.0,6.0,4.0,2502.0,0.61,0.28,0.89,0.31,42.19,76.93,10.0,0.5,0.57,0.26,0.8285714285714286,0.12,0.0
Luis Suarez,31.0,12.0,33.0,2964.0,6.0,0,181.0,81.0,0.0,3.0,1264.0,0.94,0.36,1.31,0.17,44.75,38.38,28.0,0.1,0.94,0.36,1.303030303030303,0.18,0.0
Daniel Sturridge,21.0,7.0,29.0,2275.0,2.0,0,99.0,42.0,0.0,0.0,740.0,0.83,0.28,1.11,0.21,42.42,29.27,21.0,0.0,0.72,0.24,0.9655172413793104,0.08,0.0
Eden Hazard,14.0,7.0,35.0,2895.0,2.0,0,73.0,32.0,4.0,0.0,1542.0,0.44,0.22,0.65,0.19,43.84,47.94,10.0,0.29,0.4,0.2,0.6,0.06,0.0
Steven Gerrard,13.0,13.0,34.0,2900.0,7.0,0,60.0,31.0,10.0,2.0,2219.0,0.4,0.4,0.81,0.22,51.67,68.87,1.0,0.92,0.38,0.38,0.7647058823529411,0.22,0.0
Adam Lallana,9.0,6.0,38.0,3100.0,3.0,0,70.0,29.0,0.0,0.0,1478.0,0.26,0.17,0.44,0.13,41.43,42.91,9.0,0.0,0.24,0.16,0.39473684210526316,0.09,0.0
Wayne Rooney,17.0,10.0,29.0,2448.0,8.0,0,101.0,43.0,3.0,3.0,1326.0,0.62,0.37,0.99,0.17,42.57,48.75,11.0,0.35,0.59,0.34,0.9310344827586207,0.29,0.0
Emmanuel Adebayor,11.0,4.0,21.0,1808.0,0.0,0,44.0,23.0,1.0,0.0,794.0,0.55,0.2,0.75,0.25,52.27,39.52,10.0,0.09,0.52,0.19,0.7142857142857143,0.0,0.0
Olivier Giroud,16.0,8.0,36.0,3081.0,4.0,0,112.0,38.0,1.0,0.0,1114.0,0.47,0.23,0.7,0.14,33.93,32.54,15.0,0.06,0.44,0.22,0.6666666666666666,0.12,0.0
Romelu Lukaku,15.0,6.0,33.0,2602.0,1.0,0,101.0,45.0,0.0,0.0,806.0,0.52,0.21,0.73,0.15,44.55,27.88,15.0,0.0,0.45,0.18,0.6363636363636364,0.03,0.0
Edin Dzeko,16.0,1.0,31.0,1991.0,4.0,0,103.0,38.0,0.0,0.0,714.0,0.72,0.05,0.77,0.16,36.89,32.28,16.0,0.0,0.52,0.03,0.5483870967741935,0.18,0.0
Wilfried Bony,16.0,4.0,34.0,2472.0,4.0,0,108.0,40.0,4.0,0.0,824.0,0.58,0.15,0.73,0.15,37.04,30.0,12.0,0.25,0.47,0.12,0.5882352941176471,0.15,0.0
Jay Rodriguez,15.0,3.0,33.0,2567.0,2.0,0,101.0,32.0,0.0,0.0,730.0,0.53,0.11,0.63,0.15,31.68,25.59,15.0,0.0,0.45,0.09,0.5454545454545454,0.07,0.0
Christian Benteke,10.0,2.0,26.0,2128.0,4.0,0,67.0,28.0,2.0,0.0,872.0,0.42,0.08,0.51,0.15,41.79,36.88,8.0,0.2,0.38,0.08,0.46153846153846156,0.17,0.0
Rickie Lambert,13.0,10.0,37.0,2816.0,2.0,0,103.0,41.0,3.0,2.0,1112.0,0.42,0.32,0.74,0.13,39.81,35.54,8.0,0.38,0.35,0.27,0.6216216216216216,0.06,0.0
Aaron Ramsey,10.0,8.0,23.0,1764.0,3.0,0,50.0,27.0,0.0,0.0,1515.0,0.51,0.41,0.92,0.2,54.0,77.3,10.0,0.0,0.43,0.35,0.782608695652174,0.15,0.0
Oscar,8.0,2.0,33.0,2143.0,4.0,0,71.0,24.0,0.0,0.0,1258.0,0.34,0.08,0.42,0.11,33.8,52.83,8.0,0.0,0.24,0.06,0.30303030303030304,0.17,0.0
Kevin Mirallas,8.0,8.0,32.0,2330.0,6.0,0,81.0,27.0,0.0,2.0,716.0,0.31,0.31,0.62,0.1,33.33,27.66,6.0,0.25,0.25,0.25,0.5,0.23,0.0
Juan Mata,6.0,6.0,28.0,2064.0,0.0,0,40.0,12.0,0.0,2.0,1385.0,0.26,0.26,0.52,0.15,30.0,60.39,4.0,0.33,0.21,0.21,0.42857142857142855,0.0,0.0
Raheem Sterling,9.0,5.0,33.0,2218.0,3.0,0,45.0,22.0,0.0,0.0,933.0,0.37,0.2,0.57,0.2,48.89,37.86,9.0,0.0,0.27,0.15,0.42424242424242425,0.12,0.0
Mesut Özil,5.0,9.0,26.0,2149.0,0.0,0,30.0,18.0,0.0,0.0,1639.0,0.21,0.38,0.59,0.17,60.0,68.64,5.0,0.0,0.19,0.35,0.5384615384615384,0.0,0.0
