Player,Age,Team,Position,GP,GS,MP,FG,AFD,2_Point_Attempt%,Restricted_Area_Attempt%,Short_Midrange_Attempt%,Mid_Post_Attempt%,Long_Midrange_Attempt%,3_Point_Attempt%,Restricted_Area%,Short_Midrange%,Mid_Post%,Long_Midrange%,2P_Assisted%,3P_Assisted%,Dunks%,Dunks,Corner_3PA%,Corner_3P%,Heaves_Attempted,Heaves_Made,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Point_Per_Shot,PPG,TS%,FGA_Per_Game,3PA_Per_Game,FG_Per_Game,3P_Per_Game,FTA_Per_Game,FT_Per_Game,2P_Unassisted%,3P_Unassisted%,Unassisted_2PM,Unassisted_3PM
DeMar DeRozan,34,CHI,SF,79,79,2989,650,13.2,0.834,0.182,0.172,0.25,0.23,0.166,0.684,0.494,0.49,0.402,0.282,0.853,0.019,18,0.316,0.394,1,0,1355,0.48,75,225,0.333,575,1130,0.509,0.507,522,612,0.853,43,297,340,421,90,45,135,161,1897,1.01,24.01,58.4,17.15,2.85,8.23,0.95,7.75,6.61,0.72,0.15,503.0,60.0
Domantas Sabonis,27,SAC,C,82,82,2928,634,6.2,0.919,0.455,0.361,0.07,0.032,0.081,0.722,0.516,0.467,0.471,0.607,0.909,0.113,111,0.057,0.2,0,0,1068,0.594,33,87,0.379,601,981,0.613,0.609,292,415,0.704,294,826,1120,673,74,48,272,250,1593,1.22,19.43,63.69,13.02,1.06,7.73,0.4,5.06,3.56,0.39,0.09,562.0,24.0
Coby White,23,CHI,PG,79,78,2881,541,15.5,0.54,0.25,0.156,0.085,0.05,0.46,0.656,0.362,0.485,0.267,0.289,0.833,0.012,14,0.126,0.4,4,0,1209,0.447,209,556,0.376,332,653,0.508,0.534,218,260,0.838,44,314,358,405,53,18,166,186,1509,1.07,19.1,57.01,15.3,7.04,6.85,2.65,3.29,2.76,0.71,0.17,261.0,192.0
Mikal Bridges,27,BRK,SF,82,82,2854,564,15.9,0.543,0.165,0.163,0.158,0.056,0.457,0.668,0.398,0.468,0.292,0.494,0.882,0.016,20,0.338,0.405,5,1,1294,0.436,220,592,0.372,344,702,0.49,0.521,258,317,0.814,68,304,372,299,81,30,164,116,1606,1.04,19.59,56.02,15.78,7.22,6.88,2.68,3.87,3.15,0.51,0.12,293.0,208.0
Paolo Banchero,21,ORL,PF,80,80,2799,640,12.6,0.751,0.225,0.235,0.183,0.108,0.249,0.703,0.403,0.395,0.421,0.363,0.655,0.063,80,0.068,0.25,2,0,1407,0.455,119,351,0.339,521,1056,0.493,0.497,405,559,0.725,82,472,554,431,71,47,247,153,1804,0.99,22.55,54.57,17.59,4.39,8.0,1.49,6.99,5.06,0.64,0.34,457.0,85.0
Kevin Durant,35,PHO,PF,75,75,2791,751,15.0,0.717,0.125,0.153,0.279,0.16,0.283,0.827,0.53,0.491,0.53,0.511,0.815,0.054,75,0.165,0.463,0,0,1436,0.523,168,407,0.413,583,1029,0.567,0.581,362,423,0.856,41,454,495,378,69,91,244,133,2032,1.16,27.09,62.63,19.15,5.43,10.01,2.24,5.64,4.83,0.49,0.19,534.0,149.0
Dejounte Murray,27,ATL,SG,78,78,2783,672,14.9,0.621,0.17,0.191,0.181,0.079,0.379,0.581,0.464,0.521,0.509,0.261,0.706,0.011,14,0.222,0.431,1,0,1463,0.459,201,554,0.363,471,909,0.518,0.528,208,262,0.794,62,354,416,502,111,24,201,138,1753,1.06,22.47,55.54,18.76,7.1,8.62,2.58,3.36,2.67,0.74,0.29,397.0,172.0
Anthony Edwards,22,MIN,SG,79,78,2770,718,14.1,0.659,0.228,0.192,0.125,0.114,0.341,0.707,0.438,0.446,0.333,0.331,0.558,0.051,67,0.086,0.348,5,0,1558,0.461,190,532,0.357,528,1026,0.515,0.522,423,506,0.836,52,378,430,405,101,42,241,141,2049,1.04,25.94,57.54,19.72,6.73,9.09,2.41,6.41,5.35,0.67,0.44,461.0,146.0
Nikola Jokić,28,DEN,C,79,79,2737,822,9.7,0.836,0.26,0.404,0.115,0.057,0.164,0.741,0.614,0.537,0.37,0.572,0.807,0.013,17,0.035,0.25,8,0,1411,0.583,83,231,0.359,739,1180,0.626,0.612,358,438,0.817,223,753,976,708,108,68,237,194,2085,1.22,26.39,65.01,17.86,2.92,10.41,1.05,5.54,4.53,0.43,0.19,696.0,64.0
Jalen Brunson,27,NYK,PG,77,77,2726,790,14.3,0.681,0.127,0.275,0.189,0.09,0.319,0.636,0.519,0.474,0.426,0.23,0.583,0.002,3,0.131,0.464,1,0,1648,0.479,211,526,0.401,579,1122,0.516,0.543,421,497,0.847,43,235,278,519,70,13,186,144,2212,1.09,28.73,59.25,21.4,6.83,10.26,2.74,6.45,5.47,0.77,0.42,502.0,169.0
